canonical_smiles,BindingDB Reactant_set_id,bioactivity_class,pIC50_norm
CC(C)(C)c1cc[n+](CCC[n+]2ccc(cc2)C(C)(C)C)cc1,50919569,inactive,4.853871964321762
O=C(CCCCC1CCSS1)NCCNc1c2CCCCc2nc2ccccc12,17492,active,7.013228265733755
CC(C)Cc1cc(N)c2c(cc(nc2n1)-c1ccccc1)C(F)(F)F,51183377,inactive,4.719194071606333
COc1ccccc1CN(C)Cc1ccc(cc1)-c1cc2cc(OC)c(OC)cc2oc1=O,50394650,active,7.2076083105017466
Clc1ccc2c(NCCCNC(=O)CCCC[C@@H]3CCSS3)c3CCCCc3nc2c1,50698674,active,9.638272163982407
COc1ccccc1CN1CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(Cc2ccccc2OC)Cc2ccc(cc2)-c2ccc(C1)cc2,51032935,inactive,4.270001452716577
Oc1cc(O)cc(Oc2c(O)cc(O)c3Oc4cc(O)cc(O)c4Oc23)c1,559214,inactive,4.345823458122039
O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2CCCCc2nc2ccccc12,50577888,active,10.0
CCCCCCCCCCCCNc1c2CCCCc2nc2ccc(OC)cc12,50601920,active,6.0
CC(C)c1ccc(NC(=O)OCC2CCCN(Cc3ccccc3)C2)cc1,51397453,inactive,4.82102305270683
CCCCCCCNC(=O)Oc1ccc2CC3N(CCC)CC[C@@]3(C)c2c1,50763667,active,7.031517051446065
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]ccc2c1,51239550,active,7.886056647693163
COc1cccc(CN2CCC(CC2)\C=C2/Cc3cccc(OC)c3C2=O)c1,50502604,inactive,4.915245036820646
COc1ccc(NCC(=O)Nc2ccc3oc(=O)ccc3c2)cc1,51297473,active,7.259637310505756
CC1(CO)[C@@H](O)CC[C@@]2(C)C1C[C@H](O)[C@@]1(C)Oc3cc(oc(=O)c3C(=O)C21)-c1ccc(Cl)nc1,50159842,inactive,4.096910013008056
CCOCCN1CCN(CCC(=O)Nc2nc3c(C)cccc3s2)CC1,51470067,inactive,4.697236291527018
N#Cc1cc2c(cn1)[nH]c1ncc(cc21)-c1ccc(CN2CCOCC2)cc1,50347429,inactive,4.876148359032914
COC(=O)c1ccccc1C[n+]1ccc(CC2Cc3cc(OC)c(OC)cc3C2=O)c(c1)C(=O)Oc1c(Cl)cc(Cl)cc1Cl,51025449,active,7.161150909262744
CN(CCOCCNC(=S)Nc1cccc2ccccc12)Cc1ccccc1,50578122,inactive,5.0
COc1ccc(cc1)C1N(C)Cc2cc(O)ccc2N1C,50488447,inactive,3.983802646487561
O=C1CN(CCN2CCOCC2)C(=O)CN1CCC(c1ccccc1)c1ccccc1,50303873,inactive,4.698970004336019
COc1ccccc1C(=O)O[C@H]1CN2Cc3cc4OCOc4cc3[C@]11C=C[C@@H](O)C[C@H]21,51435360,inactive,4.045757490560675
C[C@@]12CCN(Cc3ccccc3)[C@@H]1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc21,50597944,inactive,4.385841290490825
O=NCc1cc[n+](COCCC#C)cc1,50030724,inactive,4.015472686656207
O=C(NCCCCCc1ccccc1)Oc1ccc(Cn2cc(COc3ccc4ccc(=O)oc4c3)nn2)cc1,50513389,active,6.5934598195660445
COc1cc(O)c2C(=O)OC3(C)C=C(O)C(=O)C(=C3c2c1)c1c(O)c(O)cc(C)c1-c1cc(OC)cc(O)c1C(O)=O,51327875,inactive,4.809668301829708
CC(C)(C)c1cc[n+](C[n+]2ccc(cc2)C(C)(C)C)cc1,50919573,inactive,4.698970004336019
C(N1CCCCC1)c1ccc(cc1)-c1cnc2[nH]c3cnc(cc3c2c1)-c1nnco1,50347474,active,6.346787486224656
COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O,51116782,active,10.0
C\C=C(/C)C(=O)N[C@H]1[C@@H](O)C[C@@]2(C)C(CC[C@@H]3[C@@H]2CC[C@]2(C)[C@H](CC=C32)[C@H](C)N(C)C)[C@H]1O,51030670,inactive,4.480001470881152
CCOC(OCC)c1ccc(\C=C\C(=O)\C=C\c2ccc(cc2)C(OCC)OCC)cc1,50109181,inactive,4.256960845195067
COc1cc(\C=C\C(=O)NCC(=O)Nc2ccccc2C)ccc1O,51397294,inactive,4.788612447063141
